Distance_(unit),Gray_Value
318.460,204.5324
318.901,201.3813
319.343,201.7493
319.785,204.3840
320.227,203.2963
320.668,205.0613
321.110,203.8836
321.552,203.9573
321.993,204.1467
322.435,203.4489
322.877,202.8797
323.318,205.1982
323.760,203.3369
324.202,203.4356
324.643,205.0400
325.085,206.2738
325.527,203.9040
325.969,202.8027
326.410,204.3120
326.852,205.5511
327.294,204.8053
327.735,204.8436
328.177,206.9404
328.619,208.9858
329.060,206.1956
329.502,208.3526
329.944,203.4053
330.385,204.2942
330.827,202.3529
331.269,203.6667
331.711,203.2942
332.152,203.9609
332.594,205.4507
333.036,206.2347
333.477,204.9600
333.919,206.5680
334.361,203.2560
334.802,202.3742
335.244,202.4533
335.686,205.0800
336.127,205.7849
336.569,204.6667
337.011,204.9209
337.453,206.9801
337.894,206.0400
338.336,206.0273
338.778,204.0009
339.219,205.6107
339.661,202.0000
340.103,203.9807
340.544,202.8969
340.986,205.0969
341.428,206.2329
341.869,205.9387
342.311,203.2889
342.753,204.7173
343.195,201.6400
343.636,203.7378
344.078,204.0563
344.520,206.9067
344.961,204.0610
345.403,207.6101
345.845,205.2293
346.286,205.6702
346.728,205.0000
347.170,202.8533
347.611,204.4471
348.053,202.4098
348.495,205.4293
348.937,201.8504
349.378,201.0720
349.820,201.6187
350.262,201.3082
350.703,204.8243
351.145,203.0267
351.587,202.5099
352.028,201.6095
352.470,202.5964
352.912,203.0415
353.353,203.7630
353.795,203.7627
354.237,203.7722
354.679,201.7031
355.120,203.2800
355.562,202.5600
356.004,200.8569
356.445,201.8542
356.887,203.7286
357.329,200.2735
357.770,199.9600
358.212,201.7191
358.654,203.2418
359.095,202.4640
359.537,201.8302
359.979,201.7911
360.421,203.4960
360.862,203.5973
361.304,202.6809
361.746,202.6507
362.187,203.6667
362.629,200.6667
363.071,202.5173
363.512,203.2898
363.954,203.4391
364.396,202.9333
364.837,202.1253
365.279,201.8391
365.721,204.2827
366.163,204.9422
366.604,204.7689
367.046,206.5013
367.488,205.2610
367.929,201.7633
368.371,201.9138
368.813,203.5704
369.254,203.5099
369.696,204.4907
370.138,203.5167
370.579,203.8142
371.021,205.3822
371.463,206.2204
371.905,205.9132
372.346,206.0293
372.788,207.9902
373.230,204.7763
373.671,205.9120
374.113,204.4364
374.555,206.0000
374.996,204.0000
375.438,206.0000
375.880,206.3085
376.321,209.6667
376.763,205.2127
377.205,203.7988
377.646,200.0267
378.088,204.7085
378.530,207.9076
378.972,211.4453
379.413,207.7982
379.855,206.9096
380.297,205.4338
380.738,206.0948
381.180,207.2059
381.622,204.3813
382.063,205.0282
382.505,205.4631
382.947,201.5600
383.388,205.3333
383.830,203.3396
384.272,202.3422
384.714,205.6996
385.155,206.6667
385.597,204.6907
386.039,201.6972
386.480,200.8148
386.922,206.9716
387.364,205.1001
387.805,200.7736
388.247,202.5582
388.689,204.7215
389.130,204.3807
389.572,204.4133
390.014,202.4459
390.456,205.4753
390.897,206.0533
391.339,204.6667
391.781,203.0904
392.222,207.3271
392.664,201.2818
393.106,204.6667
393.547,206.8187
393.989,202.7796
394.431,204.7719
394.872,203.6436
395.314,206.3363
395.756,206.8842
396.198,202.2080
396.639,203.4957
397.081,206.5479
397.523,206.0000
397.964,205.1884
398.406,203.2581
398.848,204.3573
399.289,208.2987
399.731,202.9067
400.173,205.5653
400.614,202.9298
401.056,199.9102
401.498,203.7413
401.940,204.5911
402.381,202.8516
402.823,203.4960
403.265,204.7085
403.706,203.7087
404.148,203.2133
404.590,199.7387
405.031,203.6667
405.473,204.6667
405.915,204.9905
406.356,203.9970
406.798,202.6773
407.240,203.6969
407.682,203.0000
408.123,203.1947
408.565,203.8445
409.007,203.9920
409.448,204.6667
409.890,204.2240
410.332,204.6658
410.773,204.1867
411.215,203.2853
411.657,202.6667
412.098,202.7547
412.540,203.7351
412.982,201.4311
413.424,201.6960
413.865,202.3040
414.307,200.3920
414.749,203.3884
415.190,206.4800
